contest-tmp2m-14d__tmp2m,index
27.18799065637611,375734
27.170391108667914,375735
27.25578794149431,375736
27.39418683473336,375737
27.386900334374648,375738
27.452151229506192,375739
27.34709339501235,375740
27.17519398338545,375741
26.945760002862848,375742
26.905462022413573,375743
26.906712755723063,375744
27.07633365879503,375745
26.942153695081082,375746
26.54475701019443,375747
26.297723761616293,375748
26.077991387045955,375749
25.658734474792446,375750
25.233612416733017,375751
24.966316423415403,375752
24.641898020029316,375753
24.452641521484153,375754
24.36600122510164,375755
24.645390815127087,375756
24.274106400507193,375757
23.747378912967157,375758
23.2237509912838,375759
22.93128362717999,375760
22.944911138258604,375761
22.968733874384334,375762
22.80579844228936,375763
22.845056167246312,375764
22.990293066728412,375765
23.085800582897825,375766
23.244130088038386,375767
23.382802169147226,375768
23.36960103293187,375769
23.63378383705972,375770
23.272997769476973,375771
23.065317514546358,375772
22.986364415340596,375773
22.979700404269686,375774
22.826786777222484,375775
22.530290184723782,375776
22.195728949680955,375777
21.944135150841138,375778
21.688437201448686,375779
21.44749746595071,375780
21.18370478160739,375781
20.932303627947235,375782
20.765374508597557,375783
20.653340499206273,375784
20.778882611970083,375785
20.955313828920957,375786
21.109492815507448,375787
21.15045393954404,375788
21.06865814755841,375789
20.753006996629292,375790
20.423224708942506,375791
20.19147868614891,375792
19.885038045719114,375793
19.664043256387895,375794
27.16458702778975,375795
27.130545113641134,375796
27.22022774165646,375797
27.351979568825747,375798
27.350568592267617,375799
27.433739422225734,375800
27.33333033369056,375801
27.16684451414608,375802
26.95941625046634,375803
26.927129112532626,375804
26.92908614573635,375805
27.08638668297555,375806
27.015849596377066,375807
26.778824906040114,375808
26.541832948819525,375809
26.334572207799468,375810
25.89470541775338,375811
25.460162736419086,375812
25.19443402336351,375813
24.889237140623784,375814
24.71368060625271,375815
24.63804507902604,375816
24.894359089157675,375817
24.523279374188643,375818
24.0138692753049,375819
23.494673076671848,375820
23.139718509956367,375821
23.026524019093422,375822
23.055560418294142,375823
22.905360450761272,375824
22.965062405937356,375825
23.125302929614207,375826
23.23068529452255,375827
23.39105260182817,375828
23.53993705505877,375829
23.529033377392263,375830
23.79131819984906,375831
23.426210013218355,375832
23.207675740711046,375833
23.112505439811642,375834
23.09882446857585,375835
22.928933122138105,375836
22.601962822378354,375837
22.2558301437301,375838
21.991952306347343,375839
21.73207525852998,375840
21.48462121792334,375841
21.21243920852087,375842
20.969950714294015,375843
20.822608102924715,375844
20.725425063453443,375845
20.8901598228814,375846
21.11831421887033,375847
21.308656867203986,375848
21.377796077359697,375849
21.326667855257664,375850
21.03062727641171,375851
20.739724881033638,375852
20.540040108346222,375853
20.26999069212112,375854
20.061224747935146,375855
27.764214680367903,375856
27.677294889245374,375857
27.73615495889903,375858
27.840177105045214,375859
27.80792321029556,375860
27.832406602849375,375861
27.747197938591547,375862
27.563163150148505,375863
27.291730343980866,375864
27.195556386562217,375865
27.180681993610552,375866
27.30324888801365,375867
26.96932340949739,375868
26.64057053309949,375869
26.42273100983656,375870
26.21041902624443,375871
25.73136819014686,375872
25.308613628617714,375873
25.00646387609079,375874
24.600647378356626,375875
24.33605953894605,375876
24.21098083984583,375877
24.44899358450565,375878
24.0492103174196,375879
23.431891082173006,375880
22.88639308516377,375881
22.762026463709795,375882
22.722637505486993,375883
22.76494902969,375884
22.603038557065865,375885
22.706445204723153,375886
22.910241429480557,375887
23.105338034389593,375888
23.36805155361531,375889
