contest-tmp2m-14d__tmp2m,index
28.204862924824763,375734
28.038583526354564,375735
27.863477627844347,375736
27.89218795374412,375737
27.942678003232835,375738
28.140425569491907,375739
27.890875168572258,375740
27.55928904141247,375741
27.35697721540654,375742
27.414876115774717,375743
27.458663796531628,375744
27.624915283890545,375745
27.377323192817055,375746
27.042764564641374,375747
26.938378477964203,375748
26.848262604971115,375749
26.586727932918542,375750
26.183874696746447,375751
25.821099659294198,375752
25.365030241301078,375753
25.382077877676622,375754
25.612755919028512,375755
26.092361432040114,375756
25.91202863675203,375757
25.51102406693806,375758
25.24576134047615,375759
25.282102837406352,375760
25.428805668454938,375761
25.338691366615183,375762
25.3307829232049,375763
25.57008969447669,375764
25.898161316065494,375765
26.06306528390565,375766
26.23312994925601,375767
26.172329755540577,375768
26.001686025947095,375769
26.022702841151297,375770
25.373842346939114,375771
25.147005081338584,375772
25.102947939896126,375773
25.152156418462198,375774
24.987353196343637,375775
24.90323398970825,375776
24.707305204087966,375777
24.45830887110755,375778
24.27899637614307,375779
24.05636830393063,375780
23.86220165496856,375781
23.72112188841079,375782
23.675351395123055,375783
23.878978748490695,375784
24.493126606857047,375785
24.560081849211272,375786
24.759651590534975,375787
24.834398530266064,375788
24.70373190329579,375789
24.17221569507215,375790
23.61358705314347,375791
23.140060538189886,375792
22.626728890415023,375793
22.32991180965068,375794
27.458250767736583,375795
27.27385518898812,375796
27.10286136801235,375797
27.12492444650315,375798
27.183785066453297,375799
27.466769678185038,375800
27.22076501020748,375801
26.893443006363505,375802
26.71204490940052,375803
26.777712213899566,375804
26.82176877669318,375805
26.97488702338689,375806
26.802529032321907,375807
26.65366840448951,375808
26.558727101175418,375809
26.480792505929983,375810
26.19583412664279,375811
25.78243102311992,375812
25.41392634750094,375813
24.95985994342665,375814
24.98197880458582,375815
25.199518525658675,375816
25.680669018144005,375817
25.485143320054565,375818
25.09386620786629,375819
24.81983710363095,375820
24.775861322331764,375821
24.74835034406948,375822
24.654355297483768,375823
24.62365370521001,375824
24.877949687690432,375825
25.225312407296233,375826
25.403185999858376,375827
25.577812143869714,375828
25.529344082886272,375829
25.362104444864507,375830
25.324970773286005,375831
24.66960725126163,375832
24.43217062550788,375833
24.371614886767325,375834
24.416652473886295,375835
24.233913693323537,375836
24.117712300152856,375837
23.909500444766124,375838
23.64822499837088,375839
23.465403352367012,375840
